DISTRITO,tmin_mean_total
CHARACATO,5.194550247192383
LA JOYA,11.774303690592449
PAUCARPATA,9.353759384155273
SANTA RITA DE SIGUAS,12.111296183268228
AREQUIPA,7.990961933135987
MATALAQUE,1.7516290162739
YANAHUARA,
UCHUMAYO,11.295350646972656
NICOLAS DE PIEROLA,14.019611065204327
ZEPITA,-0.34799259587338094
SAN JUAN DE SIGUAS,11.918284797668457
COPANI,1.152240252494812
MARIANO MELGAR,6.69662561416626
CHOJATA,-2.0814532725016273
MARISCAL CACERES,14.158815917968749
MIRAFLORES,9.059571647644043
CHIGUATA,3.134257936477661
ALTO SELVA ALEGRE,6.599100017547608
CUTURAPI,
POMATA,0.20666163884676422
ANAPIA,5.344242858886719
LLOQUE,-1.3571578131781683
UNICACHI,
YUNGUYO,2.3432026863098145
OLLARAYA,1.0524041891098022
CERRO COLORADO,6.035001373291015
TINICACHI,
JULI,-0.3443399323357476
CAYMA,-0.06546970307826996
YUNGA,1.6581925868988037
VITOR,11.845958781692218
SANTA ISABEL DE SIGUAS,12.299702911376952
URACA,13.200029645647323
MAJES,12.520523660224782
OCOÑA,12.77343405018682
PILCUYO,1.3307835896809894
ICHUÑA,-0.7926738619804382
SAN ANTONIO,-2.5374190990741434
UBINAS,-1.4302656555175781
PICHACANI,-2.5657123357599434
YURA,3.5124459330240883
SAN JUAN DE TARUCANI,-3.343182144165039
HUANCA,3.642505997877855
CHUCUITO,2.230971622467041
MARIANO NICOLAS VALCARCEL,12.649197235107422
HUANCARQUI,12.267349897112165
IRAY,8.53885555267334
APLAO,12.270332845052085
PUNO,1.0887916711660532
TIQUILLACA,-0.5282307793112363
ATICO,12.92371316557949
LLUTA,3.9205509948730466
TIPAN,8.207055854797364
CARAVELI,10.397616892847521
RIO GRANDE,13.315713321461397
CHALA,14.884448496500653
ACHOMA,-0.9297447718106783
PAUCARCOLLA,1.3196611404418945
UÑON,7.883432145552201
MACA,-1.2438708662986755
CABANILLAS,-1.5139955066499255
ATUNCOLLA,1.153920857111613
YANQUE,-2.548900624868032
CHUQUIBAMBA,9.15265851702009
COATA,0.5344936460256576
HUAMBO,7.825316454016644
CABANACONDE,3.0442288208007815
SAN ANTONIO DE CHUCA,-4.390305680495042
HUATA,0.004336926341056824
CHAPARRA,12.553203986672793
CABANA,1.5032394727071128
PAMPACOLCA,1.4130964067247178
VIRACO,-0.3896798038482666
ANDARAY,9.418711744035994
AYO,6.401451110839844
CHIVAY,0.9889146941048758
COPORAQUE,-0.6310434150695802
YANAQUIHUA,11.046529433306524
ICHUPAMPA,-1.0944908618927003
YAUCA,14.302579413519965
MACHAGUAY,1.6392827563815646
ATIQUIPA,13.669390869140623
CAPACHICA,2.0520214398701984
CABANILLA,-0.288942418495814
MADRIGAL,-0.5828479806582133
TILALI,2.9772670745849608
CARACOTO,0.620410477031361
CONIMA,0.7638684272766113
CHICHAS,8.31295145670573
HUANUHUANU,10.553115609975961
TUTI,-3.25811903817313
PUSI,0.6159045378367106
ANDAGUA,1.9327442677815754
CAHUACHO,6.687668185763888
LARI,-1.9649861199515208
QUICACHA,7.679221158414275
SANTA LUCIA,-3.0639498675311048
